"Package","Version"
"abind","1.4-8"
"AnnotationDbi","1.72.0"
"AnnotationFilter","1.34.0"
"ape","5.8-1"
"aplot","0.2.9"
"aricode","1.0.3"
"askpass","1.2.1"
"assorthead","1.4.0"
"audio","0.1-12"
"babelgene","22.9"
"backports","1.5.1"
"base64enc","0.1-6"
"base64url","1.4"
"basilisk","1.20.0"
"basilisk.utils","1.20.0"
"beachmat","2.26.0"
"beepr","2.0"
"beeswarm","0.4.0"
"BH","1.90.0-1"
"Biobase","2.70.0"
"BiocFileCache","2.16.2"
"BiocGenerics","0.56.0"
"BiocIO","1.20.0"
"BiocManager","1.30.27"
"BiocNeighbors","2.4.0"
"BiocParallel","1.44.0"
"BiocSingular","1.26.0"
"BiocVersion","3.21.1"
"biomaRt","2.64.0"
"Biostrings","2.78.0"
"bit","4.6.0"
"bit64","4.8.0"
"bitops","1.0-9"
"bluster","1.18.0"
"brew","1.0-10"
"broom","1.0.12"
"bslib","0.10.0"
"cachem","1.1.0"
"callr","3.7.6"
"car","3.1-3"
"carData","3.0-5"
"caTools","1.18.3"
"celda","1.24.0"
"cellranger","1.1.0"
"checkmate","2.3.3"
"cigarillo","1.0.0"
"circlize","0.4.17"
"classInt","0.4-11"
"cli","3.6.6"
"clipr","0.8.0"
"clue","0.3-66"
"clustree","0.5.1"
"colorspace","2.1-2"
"combinat","0.0-8"
"commonmark","2.0.0"
"ComplexHeatmap","2.24.1"
"corrplot","0.95"
"cowplot","1.2.0"
"cpp11","0.5.2"
"crayon","1.5.3"
"credentials","2.0.3"
"crosstalk","1.2.2"
"curl","7.1.0"
"data.table","1.18.2.1"
"dbscan","1.2.4"
"ddpcr","1.15.2"
"decontX","1.6.0"
"DelayedArray","0.36.0"
"DelayedMatrixStats","1.32.0"
"deldir","2.0-4"
"dendextend","1.19.1"
"Deriv","4.2.0"
"desc","1.4.3"
"DescTools","0.99.60"
"devtools","2.4.6"
"digest","0.6.39"
"dir.expiry","1.16.0"
"distances","0.1.13"
"distributional","0.5.0"
"doBy","4.7.1"
"doParallel","1.0.17"
"dotCall64","1.2"
"dplyr","1.2.1"
"dqrng","0.4.1"
"DropletUtils","1.28.1"
"DT","0.34.0"
"e1071","1.7-17"
"edgeR","4.8.0"
"enrichR","3.4"
"evaluate","1.0.5"
"Exact","3.3"
"expm","1.0-0"
"farver","2.1.2"
